Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy,Label
709050,1,0.77,0.03,79,No Fall
709250,1,0.75,-0.09,62,No Fall
709450,1,0.74,-0.14,63,No Fall
709650,1,0.7,0.1,92,No Fall
709850,1,0.65,0.06,80,No Fall
710050,1,0.6,0.06,87,No Fall
710250,1,0.56,-0.22,42,No Fall
710450,1,0.53,-0.16,86,Fall
710650,1,0.51,-0.09,46,Fall
710850,1,0.56,-0.74,40,Fall
711050,1,0.5,-0.48,44,Fall
711250,1,2.1,-3.84,40,Fall
711450,1,1.51,-3.83,40,Fall
711650,1,1.67,-3.73,40,Fall
711850,1,0.53,0.01,47,Fall
712050,1,0.52,0.01,44,Fall
712250,1,0.52,0.01,44,Fall
712450,1,0.52,0.01,45,Fall
712650,1,1.49,-3.84,58,Fall
712850,1,1.36,-3.81,52,Fall
713050,1,0.89,-3.78,40,Fall
713250,1,0.38,-3.72,58,Fall
713450,1,1.5,-3.84,85,Fall
713650,1,1.36,-3.81,41,No Fall
713850,1,0.89,-3.78,74,No Fall
